city_id,city,pop,age,household,individual,house,rent,COLI
1231,"San Juan Capistrano, California",36064,42.7,86090,45370,695386,1872,88.2
1232,"New Britain, Connecticut",72710,36.0,43574,23341,157900,1006,106.0
1233,"Daytona Beach, Florida",68055,41.4,33228,20197,147700,843,89.0
1234,"Lauderdale Lakes, Florida",36069,36.2,36719,19143,156217,1068,111.6
1235,"North Lauderdale, Florida",44198,32.0,54605,21213,221646,1349,112.5
1236,"Oakland Park, Florida",45035,40.0,48392,25735,234072,1178,114.1
1237,"Pinellas Park, Florida",52854,45.5,48648,26494,159730,975,94.1
1238,"Port Orange, Florida",63203,47.8,51647,28553,181861,1088,89.2
1239,"Riviera Beach, Florida",34674,38.0,42796,25566,215988,1160,100.0
1240,"Royal Palm Beach, Florida",38592,38.6,72990,28178,268386,1609,101.3
1241,"Johns Creek, Georgia",84350,40.9,65037,44623,306200,1442,98.2
1242,"Calumet City, Illinois",36633,36.6,43815,21263,110081,974,100.8
1243,"Carol Stream, Illinois",39989,37.8,80654,33317,246486,1131,102.2
1244,"Crystal Lake, Illinois",40421,38.9,87940,38822,223505,1245,101.5
1245,"Glendale Heights, Illinois",34058,33.5,66538,26903,186622,1170,102.5
1246,"Hanover Park, Illinois",37982,34.0,74635,24412,184279,1200,101.8
1247,"Hoffman Estates, Illinois",51567,38.2,90526,40484,284947,1234,102.6
1248,"North Chicago, Illinois",29842,24.4,43335,21131,109260,1144,98.6
1249,"Michigan City, Indiana",31056,38.4,41309,21392,107544,733,84.8
1250,"West Des Moines, Iowa",65608,34.9,77476,45988,248756,959,90.5
1251,"Bossier City, Louisiana",68554,33.0,46911,24727,159900,959,86.6
1252,"Long Branch, New Jersey",30762,37.2,59097,33134,298937,1320,123.7
1253,"Sayreville, New Jersey",45262,39.4,81827,35113,315831,1238,121.5
1254,"Freeport, New York",43508,37.7,72792,31121,337517,1407,151.7
1255,"Spring Valley, New York",32724,30.1,43510,20937,287775,1337,143.1
1256,"Indian Trail, North Carolina",36360,35.4,83809,32393,204558,1180,92.7
1257,"Midwest City, Oklahoma",57308,35.0,51270,26125,126098,797,85.0
1258,"Lake Oswego, Oregon",39196,45.1,103690,67163,661558,1507,106.0
1259,"West Jordan, Utah",113905,30.6,74400,26036,283700,1160,91.2
1260,"Federal Way, Washington",96690,35.5,61804,31353,340500,1204,115.3
1261,"Mount Vernon, Washington",35051,34.6,58267,26556,249169,900,99.9
1262,"Spokane Valley, Washington",97847,37.7,53360,30416,222200,825,93.5
1263,"Walla Walla, Washington",32854,36.0,50037,24184,211343,832,89.3
1264,"Matthews, North Carolina",32117,43.6,80803,40275,265558,1134,100.2
1265,"West Fargo, North Dakota",35708,33.8,75551,33170,222167,813,107.9
1266,"North Ridgeville, Ohio",31871,42.7,66445,31122,161392,1088,96.0
1267,"Farmers Branch, Texas",37088,36.0,71656,33824,188106,1220,95.0
1268,"Cedar City, Utah",31806,26.2,48441,21710,229379,689,84.4
1269,"Sun Prairie, Wisconsin",32894,34.6,72141,33240,235202,1010,96.4
1270,"Ventura, California",110873,36.7,72309,37221,575876,840,100.3
1271,"Honolulu, Hawaii",374701,39.7,70634,38646,785970,1520,199.9
1272,"Louisville, Kentucky",617638,35.8,51960,25887,141700,443,93.5
1273,"Methuen, Massachusetts",50259,39.0,72628,33314,306086,1160,134.6
1274,"Watertown, Massachusetts",35756,38.0,96842,53348,577652,1828,143.7
